Rab Expedition 1000, $699.00, 1695 gm 59.8 oz 3.74 lb, -20 F-29 C, 850 Down, 63", , ?" x ?", Long: Fits up to 6'4"
Rab Expedition 1200, $775.00, 1920 gm 67.7 oz 4.23 lb, -40 F-40 C, 850 Down, 63", , ?" x ?", Long: Fits up to 6'4"
Rab Andes 800, $589.00, 1440 gm 50.8 oz 3.17 lb, -6 F-21 C, 800 Down, 59", , ?" x ?", Long: Fits up to 6'4"
REI Expedition -20 Sleeping Bag (Short), $479.00, 1559 gm 55.0 oz 3.44 lb, -20 F-29 C, 800 Down, 59", , 20" x 9", Short: Fits up to 5'6"
REI Expedition -20 Sleeping Bag (Regular), $499.00, 1644 gm 58.0 oz 3.63 lb, -20 F-29 C, 800 Down, 61", , 20" x 9", Regular: Fits up to 6'
REI Expedition -20 Sleeping Bag (Long), $529.00, 1786 gm 63.0 oz 3.94 lb, -20 F-29 C, 800 Down, 61", , 20" x 9", Long: Fits up to 6'6"
REI Magma Sleeping Bag (Regular), $399.00, 1162 gm 41.0 oz 2.56 lb, 7 F-14 C, 800 Down, 60", , 18" x 8.25", Regular: Fits up to 6'
REI Magma Sleeping Bag (Long), $419.00, 1247 gm 44.0 oz 2.75 lb, 7 F-14 C, 800 Down, 60", , 18" x 8.25", Long: Fits up to 6'6"
Sea To Summit Alpine ApII (Regular), $649.00, 1290 gm 45.5 oz 2.84 lb, 5 F-15 C, 850_Down, 60", , ?" x ?", Regular: Fits up to 6'
Sea To Summit Alpine ApII (Long), $669.00, 1450 gm 51.1 oz 3.20 lb, 5 F-15 C, 850_Down, 61", , ?" x ?", Long: Fits up to 6'8"
Sea To Summit Alpine ApIII (Regular), $699.00, 1580 gm 55.7 oz 3.48 lb, -4 F-20 C, 850_Down, 60", , ?" x ?", Regular: Fits up to 6'
Sea To Summit Alpine ApIII (Long), $729.00, 1790 gm 63.1 oz 3.95 lb, -4 F-20 C, 850_Down, 61", , ?" x ?", Long: Fits up to 6'8"
Sea To Summit Traverse XtII (Short), $529.00, 1140 gm 40.2 oz 2.51 lb, 12 F-11 C, 850_Down, 57", , ?" x ?", Short: Fits up to 5'7"
Sea To Summit Traverse XtII (Regular), $549.00, 1210 gm 42.7 oz 2.67 lb, 12 F-11 C, 850_Down, 59", , ?" x ?", Regular: Fits up to 6'
Sea To Summit Traverse XtII (Long), $569.00, 1340 gm 47.3 oz 2.95 lb, 12 F-11 C, 850_Down, 61", , ?" x ?", Long: Fits up to 6'8"
Sea To Summit Trek TkIII (Short), $279.00, 1200 gm 42.3 oz 2.65 lb, 12 F-11 C, 650 Down, 59", , ?" x ?", Short: Fits up to 5'7"
