Klymit Inertia XL Recon, $129.95, 499 gm17.6 oz1.10 lb, R 1, 77" L25" W1.5" D, 9" x 4", Inflatable
Klymit Inertia X-Lite Recon, $89.95, 196 gm6.9 oz0.43 lb, R 1, 42" L18" W1.5" D, 6" x 1.5", Inflatable
Nemo Tuo Luxury, $139.95, 1701 gm60.0 oz3.75 lb, R 2, 76" L25" W2.3" D, 12.5" x 7", Inflatable
Nemo Tuo Standard, $99.95, 1021 gm36.0 oz2.25 lb, R 2, 72" L20" W1.6" D, 9.5" x 6", Inflatable
Nemo Tuo Cub, $79.95, 765 gm27.0 oz1.69 lb, R 2, 48" L20" W1.6" D, 9" x 5", Inflatable
Nemo Astro Air, $89.95, 567 gm20.0 oz1.25 lb, R 1, 72" L20" W2.5" D, 8" x 3.5", Inflatable
Nemo Astro Air - Short, $69.95, 397 gm14.0 oz0.88 lb, R 1, 48" L20" W2.5" D, 6" x 2.5", Inflatable
Nemo Astro Insulated, $109.95, 680 gm24.0 oz1.50 lb, R 3, 72" L20" W2.5" D, 8.5" x 4.5", Inflatable
Nemo Astro Air and Pillowtop, $159.95, 1276 gm45.0 oz2.81 lb, R 3.75, 72" L20" W3.25" D, 8" x 4", Inflatable
Nemo Astro Air - Short and Pillowtop, $129.95, 879 gm31.0 oz1.94 lb, R 3.75, 48" L20" W3.25" D, 6" x 3", Inflatable
Nemo Cosmo Air, $139.95, 822 gm29.0 oz1.81 lb, R 1, 76" L25" W3" D, 9" x 4.5", Inflatable
Nemo Cosmo Insulated, $159.95, 964 gm34.0 oz2.13 lb, R 3, 76" L25" W3" D, 9" x 6.5", Inflatable
Nemo Cosmo Air and Pillowtop, $199.95, 1786 gm63.0 oz3.94 lb, R 4.5, 76" L25" W4" D, 9" x 5", Inflatable
Nemo Zor XL, $119.95, 652 gm23.0 oz1.44 lb, R 2.25, 76" L25" W1" D, 9" x 6.5", Self Inflating Foam
Nemo Zor, $99.95, 397 gm14.0 oz0.88 lb, R 2, 72" L20" W0.75" D, 9" x 4.5", Self Inflating Foam
Nemo Zor - Short, $89.95, 283 gm10.0 oz0.63 lb, R 2.25, 48" L20" W1" D, 7" x 3.5", Self Inflating Foam
Slumberjack Family Camper Pad, $51.95, 1503 gm53.0 oz3.31 lb, R 2.5, 72" L25" W1.5" D, 11" x 6", Self Inflating Foam
Slumberjack Denali Composite - Short, $51.95, 794 gm28.0 oz1.75 lb, R 2, 50" L20" W1.25" D, 20" x 6", Self Inflating Foam
Slumberjack Denali Composite - Regular, $61.95, 1021 gm36.0 oz2.25 lb, R 2, 72" L20" W1.25" D, 20" x 8", Self Inflating Foam
Therm-a-Rest NeoAir XLite - Small, $129.95, 227 gm8.0 oz0.50 lb, R 3.2, 47" L20" W2.5" D, 9" x 3.3", Inflatable
Therm-a-Rest NeoAir XLite - Regular, $159.95, 340 gm12.0 oz0.75 lb, R 3.2, 72" L20" W2.5" D, 9" x 4", Inflatable
Therm-a-Rest NeoAir XLite - Large, $179.95, 454 gm16.0 oz1.00 lb, R 3.2, 77" L25" W2.5" D, 11" x 4.5", Inflatable
Therm-a-Rest Women's NeoAir XLite, $159.95, 312 gm11.0 oz0.69 lb, R 3.9, 66" L20" W2.5" D, 9" x 4", Inflatable
Therm-a-Rest 40th Anniversary Edition - Small, $99.95, 482 gm17.0 oz1.06 lb, R 4, 47" L20" W2" D, 11" x 4", Self Inflating Foam
Therm-a-Rest 40th Anniversary Edition - Regular, $129.95, 680 gm24.0 oz1.50 lb, R 4, 72" L20" W2" D, 11" x 5.3", Self Inflating Foam
Therm-a-Rest 40th Anniversary Edition - Large, $149.95, 907 gm32.0 oz2.00 lb, R 4, 77" L25" W2" D, 13" x 5.7", Self Inflating Foam
Therm-a-Rest NeoAir XTherm - Small, $149.95, 312 gm11.0 oz0.69 lb, R 5.7, 47" L20" W2.5" D, 9" x 3.3", Inflatable
Therm-a-Rest NeoAir XTherm - Medium, $179.95, 397 gm14.0 oz0.88 lb, R 5.7, 66" L20" W2.5" D, 9" x 4", Inflatable
Therm-a-Rest NeoAir XTherm - Regular, $189.95, 425 gm15.0 oz0.94 lb, R 5.7, 72" L20" W2.5" D, 9" x 4", Inflatable
Therm-a-Rest NeoAir XTherm - Large, $219.95, 567 gm20.0 oz1.25 lb, R 5.7, 77" L25" W2.5" D, 11" x 4.5", Inflatable
Therm-a-Rest Women's 40th Anniversary Edition, $129.95, 652 gm23.0 oz1.44 lb, R 4.8, 66" L20" W2" D, 11" x 4.8", Self Inflating Foam
Therm-a-Rest ProLite Plus - Small, $89.95, 425 gm15.0 oz0.94 lb, R 3.8, 47" L20" W1.5" D, 11" x 4", Self Inflating Foam
Therm-a-Rest ProLite Plus - Regular, $109.95, 624 gm22.0 oz1.38 lb, R 3.8, 72" L20" W1.5" D, 11" x 4.8", Self Inflating Foam
Therm-a-Rest ProLite Plus - Large, $129.95, 850 gm30.0 oz1.88 lb, R 3.8, 77" L25" W1.5" D, 13" x 5.1", Self Inflating Foam
Therm-a-Rest Women's ProLite Plus, $109.95, 595 gm21.0 oz1.31 lb, R 4.6, 66" L20" W1.5" D, 11" x 4.8", Self Inflating Foam
Therm-a-Rest ProLite - Extra Small, $59.95, 227 gm8.0 oz0.50 lb, R 2.2, 36" L20" W1" D, 11" x 3.3", Self Inflating Foam
