Gregory Whitney 95 (LG.), , $429.00, 3033 gm 107.0 oz 6.69 lb, 6285 cu. in.103 liters, ~1-60 lbs, Internal Frame
Gregory Palisade 80 (SM.), , $399.00, 2693 gm 95.0 oz 5.94 lb, 4699 cu. in.77 liters, ~1-60 lbs, Internal Frame
Gregory Palisade 80 (MD.), , $399.00, 2807 gm 99.0 oz 6.19 lb, 5004 cu. in.82 liters, ~1-60 lbs, Internal Frame
Gregory Palisade 80 (LG.), , $399.00, 3005 gm 106.0 oz 6.63 lb, 5370 cu. in.88 liters, ~1-60 lbs, Internal Frame
Gregory Baltoro 75 (SM.), , $349.00, 2551 gm 90.0 oz 5.63 lb, 4455 cu. in.73 liters, ~1-50 lbs, Internal Frame
Gregory Baltoro 75 (MD.), , $349.00, 2665 gm 94.0 oz 5.88 lb, 4577 cu. in.75 liters, ~1-50 lbs, Internal Frame
Gregory Baltoro 75 (LG.), , $349.00, 2778 gm 98.0 oz 6.13 lb, 4760 cu. in.78 liters, ~1-50 lbs, Internal Frame
Gregory Baltoro 65 (SM.), , $329.00, 2438 gm 86.0 oz 5.38 lb, 3845 cu. in.63 liters, ~1-50 lbs, Internal Frame
Gregory Baltoro 65 (MD.), , $329.00, 2551 gm 90.0 oz 5.63 lb, 3967 cu. in.65 liters, ~1-50 lbs, Internal Frame
Gregory Baltoro 65 (LG.), , $329.00, 2665 gm 94.0 oz 5.88 lb, 4150 cu. in.68 liters, ~1-50 lbs, Internal Frame
Gregory Contour 70 (SM.), , $299.00, 1786 gm 63.0 oz 3.94 lb, 4150 cu. in.68 liters, ~1-45 lbs, Internal Frame
Gregory Contour 70 (MD.), , $299.00, 1843 gm 65.0 oz 4.06 lb, 4272 cu. in.70 liters, ~1-45 lbs, Internal Frame
Gregory Contour 70 (LG.), , $299.00, 1899 gm 67.0 oz 4.19 lb, 4394 cu. in.72 liters, ~1-45 lbs, Internal Frame
Gregory Contour 60 (SM.), , $279.00, 1758 gm 62.0 oz 3.88 lb, 3539 cu. in.58 liters, ~1-45 lbs, Internal Frame
Gregory Contour 60 (MD.), , $279.00, 1814 gm 64.0 oz 4.00 lb, 3661 cu. in.60 liters, ~1-45 lbs, Internal Frame
Gregory Contour 60 (LG.), , $279.00, 1871 gm 66.0 oz 4.13 lb, 3783 cu. in.62 liters, ~1-45 lbs, Internal Frame
Gregory Contour 50 (SM.), , $259.00, 1729 gm 61.0 oz 3.81 lb, 3051 cu. in.50 liters, ~1-45 lbs, Internal Frame
Gregory Contour 50 (MD.), , $259.00, 1786 gm 63.0 oz 3.94 lb, 3173 cu. in.52 liters, ~1-45 lbs, Internal Frame
Gregory Contour 50 (LG.), , $259.00, 1843 gm 65.0 oz 4.06 lb, 3295 cu. in.54 liters, ~1-45 lbs, Internal Frame
Gregory Z 75 (SM.), , $279.00, 2013 gm 71.0 oz 4.44 lb, 4211 cu. in.69 liters, ~1-50 lbs, Internal Frame
Gregory Z 75 (MD.), , $279.00, 2126 gm 75.0 oz 4.69 lb, 4577 cu. in.75 liters, ~1-50 lbs, Internal Frame
Gregory Z 75 (LG.), , $279.00, 2240 gm 79.0 oz 4.94 lb, 4943 cu. in.81 liters, ~1-50 lbs, Internal Frame
Gregory Z 65 (SM.) (2013), , $259.00, 1786 gm 63.0 oz 3.94 lb, 3539 cu. in.58 liters, ~1-45 lbs, Internal Frame
Gregory Z 65 (MD.) (2013), , $259.00, 1899 gm 67.0 oz 4.19 lb, 3906 cu. in.64 liters, ~1-45 lbs, Internal Frame
Gregory Z 65 (LG.) (2013), , $259.00, 2013 gm 71.0 oz 4.44 lb, 4272 cu. in.70 liters, ~1-45 lbs, Internal Frame
Gregory Z 55 (SM.) (2013), , $239.00, 1729 gm 61.0 oz 3.81 lb, 3112 cu. in.51 liters, ~1-40 lbs, Internal Frame
Gregory Z 55 (MD.) (2013), , $239.00, 1786 gm 63.0 oz 3.94 lb, 3417 cu. in.56 liters, ~1-40 lbs, Internal Frame
