Exped DreamWalker 650 (Long), $518.95, 1310 gm 46.2 oz 2.89 lb, 25 F-3.9 C, 750 Down, 71", 13.4" x 8.7", Long: Fits up to 6'11"
GoLite Adventure 20 (Regular), $199.99, 1247 gm 44.0 oz 2.75 lb, 20 F-16 C, 650 Down, 62", ?" x ?", Regular: Fits up to 6'
GoLite Adventure 20 (Long), $199.99, 1276 gm 45.0 oz 2.81 lb, 20 F-16 C, 650 Down, 64", ?" x ?", Long: Fits up to 6'6"
GoLite Z30 (Regular), $299.99, 680 gm 24.0 oz 1.50 lb, 30 F-1 C, 850 Down, 60", ?" x ?", Regular: Fits up to 6'
GoLite Z30 (Long), $299.99, 737 gm 26.0 oz 1.63 lb, 30 F-1 C, 850 Down, 62", ?" x ?", Long: Fits up to 6'6"
GoLite Z30 Quilt (Regular), $249.99, 624 gm 22.0 oz 1.38 lb, 30 F-1 C, 850 Down, 54", ?" x ?", Regular: Fits up to 6'
GoLite Z30 Quilt (Long), $249.99, 737 gm 26.0 oz 1.63 lb, 30 F-1 C, 850 Down, 57", ?" x ?", Long: Fits up to 6'6"
Kelty Ignite DriDown 20 (Regular), $199.95, 1247 gm 44.0 oz 2.75 lb, 20 F-7 C, 600 Down, 62", 15" x 8", Regular: Fits up to 6'
Kelty Ignite DriDown 20 (Long), $209.95, 1332 gm 47.0 oz 2.94 lb, 20 F-7 C, 600 Down, 64", 15" x 8", Long: Fits up to 6'6"
Kelty Coromell Down 20 (Regular), $159.95, 1389 gm 49.0 oz 3.06 lb, 20 F-7 C, 550 Down, 66", 14" x 8", Regular: Fits up to 6'
Kelty Coromell Down 20 (Long), $169.95, 1503 gm 53.0 oz 3.31 lb, 20 F-7 C, 550 Down, 72", 16" x 8", Long: Fits up to 6'6"
Kelty Cosmic Down 20 (Short), $139.95, 1106 gm 39.0 oz 2.44 lb, 20 F-7 C, 550 Down, 58", 13" x 8", Short: Fits up to 5'6"
Kelty Cosmic Down 20 (Regular), $149.95, 1219 gm 43.0 oz 2.69 lb, 20 F-7 C, 550 Down, 62", 14" x 8", Regular: Fits up to 6'
Kelty Cosmic Down 20 (Long), $159.95, 1361 gm 48.0 oz 3.00 lb, 20 F-7 C, 550 Down, 64", 14" x 8", Long: Fits up to 6'6"
Kelty Ignite 20 (Regular), $139.95, 1389 gm 49.0 oz 3.06 lb, 20 F-7 C, Synth, 62", 15" x 10", Regular: Fits up to 6'
Kelty Ignite 20 (Long), $149.95, 1446 gm 51.0 oz 3.19 lb, 20 F-7 C, Synth, 64", 16" x 10", Long: Fits up to 6'6"
Kelty Cosmic 20 (Regular), $99.95, 1758 gm 62.0 oz 3.88 lb, 20 F-7 C, Synth, 62", 18" x 10", Regular: Fits up to 6'
Kelty Cosmic 20 (Long), $109.95, 2013 gm 71.0 oz 4.44 lb, 20 F-7 C, Synth, 64", 19" x 10", Long: Fits up to 6'6"
Kelty Cosmic 20 (X-Large), $119.95, 2155 gm 76.0 oz 4.75 lb, 20 F-7 C, Synth, 70", 21" x 11", Long: Fits up to 6'6"
Kelty Callisto 15 (Regular), $89.95, 2126 gm 75.0 oz 4.69 lb, 15 F-9 C, Synth, 68", 18" x 12", Regular: Fits up to 6'5"
Kelty Galactic 15 Hoody, $189.95, 1673 gm 59.0 oz 3.69 lb, 15 F-9 C, 550 Down, 64", 17" x 8", Regular: Fits up to 6'
Kelty Eclipse 15, $109.95, 2835 gm 100.0 oz 6.25 lb, 15 F-9 C, Synth, 68", 28" x 14", Long: Fits up to 6'6"
Kelty Eclipse 30 (Short), $79.95, 1899 gm 67.0 oz 4.19 lb, 30 F-1 C, Synth, 58", 22" x 11", Short: Fits up to 5'6"
Kelty Eclipse 30 (Regular), $89.95, 2608 gm 92.0 oz 5.75 lb, 30 F-1 C, Synth, 68", 28" x 14", Long: Fits up to 6'6"
Kelty Mistral 20 (Regular), $74.95, 1701 gm 60.0 oz 3.75 lb, 20 F-7 C, Synth, 64", 20" x 11", Regular: Fits up to 6'
Kelty Mistral 20 (Long), $84.95, 1843 gm 65.0 oz 4.06 lb, 20 F-7 C, Synth, 66", 21" x 11", Long: Fits up to 6'6"
Kelty Mistral 20 (X-Large), $94.95, 1956 gm 69.0 oz 4.31 lb, 20 F-7 C, Synth, 72", 22" x 11", Long: Fits up to 6'6"
Kelty Galactic 30, $159.95, 1247 gm 44.0 oz 2.75 lb, 30 F-1 C, 550 Down, 64", 16" x 8", Regular: Fits up to 6'
Kelty Callisto 35 (Short), $59.95, 1417 gm 50.0 oz 3.13 lb, 35 F2 C, Synth, 56", 16" x 10", Short: Fits up to 5'4"
Kelty Callisto 35 (Regular), $69.95, 1984 gm 70.0 oz 4.38 lb, 35 F2 C, Synth, 68", 18" x 11", Regular: Fits up to 6'5"
Kelty Cosmic 35 (Short), $79.95, 936 gm 33.0 oz 2.06 lb, 35 F2 C, Synth, 58", 14" x 7", Short: Fits up to 5'6"
Kelty Cosmic 35 (Regular), $89.95, 1077 gm 38.0 oz 2.38 lb, 35 F2 C, Synth, 62", 14" x 8", Regular: Fits up to 6'
Kelty Cosmic 35 (Long), $99.95, 1191 gm 42.0 oz 2.63 lb, 35 F2 C, Synth, 64", 14" x 8", Long: Fits up to 6'6"
Kelty Cosmic 35 (X-Large), $109.95, 1304 gm 46.0 oz 2.88 lb, 35 F2 C, Synth, 70", 14" x 9", Short: Fits up to 5'4"
Lafuma TMB 30 , $219.95, 1106 gm 39.0 oz 2.44 lb, 30 F-1 C, 600 Down, 64", 14" x 6", Regular: Fits up to 6'3"
Lafuma GR 30 , $119.95, 1503 gm 53.0 oz 3.31 lb, 30 F-1 C, Synth, 64", 17" x 7", Regular: Fits up to 6'3"
Mammut Sphere UL Spring (Regular), $369.95, 520 gm 18.3 oz 1.15 lb, 29 F-2 C, 850 Down, ?", 7.5" x 5.5", Regular: Fits up to 5'11"
Mammut Sphere UL Spring (Long), $379.95, 550 gm 19.4 oz 1.21 lb, 29 F-2 C, 850 Down, ?", 7.5" x 5.5", Long: Fits up to 6'5"
Marmot Plasma 15 (Regular), $539.00, 864 gm 30.5 oz 1.90 lb, 15 F-9 C, 900 Down, 60", 15" x 7.5", Regular: Fits up to 6'
Marmot Plasma 15 (Long), $559.00, 906 gm 32.0 oz 2.00 lb, 15 F-9 C, 900 Down, 62", 15" x 7.5", Long: Fits up to 6'6"
Marmot Helium MemBrain (Regular), $469.00, 1050 gm 37.0 oz 2.31 lb, 15 F-9 C, 850 Down, 60", 14" x 7", Regular: Fits up to 6'
Marmot Helium MemBrain (Long), $489.00, 1162 gm 41.0 oz 2.56 lb, 15 F-9 C, 850 Down, 62", 15" x 7.5", Long: Fits up to 6'6"
Marmot Plasma 30 (Regular), $469.00, 636 gm 22.4 oz 1.40 lb, 30 F-1 C, 900 Down, 60", 15" x 7", Regular: Fits up to 6'
Marmot Plasma 30 (Long), $489.00, 676 gm 23.8 oz 1.49 lb, 30 F-1 C, 900 Down, 62", 15" x 7", Long: Fits up to 6'6"
Marmot Helium (Regular), $399.00, 981 gm 34.6 oz 2.16 lb, 15 F-9 C, 850 Down, 62", 12" x 6", Regular: Fits up to 6'
Marmot Helium (Long), $419.00, 1077 gm 38.0 oz 2.37 lb, 15 F-9 C, 850 Down, 64", 12" x 6", Long: Fits up to 6'6"
Marmot Pinnacle (Regular), $359.00, 1134 gm 40.0 oz 2.50 lb, 15 F-9 C, 800 Down, 62", 14" x 7", Regular: Fits up to 6'
Marmot Pinnacle (Long), $379.00, 1219 gm 43.0 oz 2.69 lb, 15 F-9 C, 800 Down, 64", 16" x 7.5", Long: Fits up to 6'6"
Marmot Hydrogen (Regular), $349.00, 702 gm 24.8 oz 1.55 lb, 30 F-1 C, 850 Down, 62", 12" x 6", Regular: Fits up to 6'
Marmot Hydrogen (Long), $369.00, 794 gm 28.0 oz 1.75 lb, 30 F-1 C, 850 Down, 64", 12" x 6", Long: Fits up to 6'6"
Marmot Sawtooth MemBrain (Regular), $299.00, 1474 gm 52.0 oz 3.25 lb, 15 F-9 C, 650 Down, 62", 16" x 7.5", Regular: Fits up to 6'
Marmot Sawtooth MemBrain (Long), $319.00, 1588 gm 56.0 oz 3.50 lb, 15 F-9 C, 650 Down, 64", 18" x 8.5", Long: Fits up to 6'6"
Marmot Sawtooth (Regular), $229.00, 1389 gm 49.0 oz 3.06 lb, 15 F-9 C, 650 Down, 62", 18" x 8.5", Regular: Fits up to 6'
Marmot Sawtooth (Long), $249.00, 1474 gm 52.0 oz 3.25 lb, 15 F-9 C, 650 Down, 64", 18" x 8.5", Long: Fits up to 6'6"
Marmot Never Winter (Regular), $199.00, 1106 gm 39.0 oz 2.44 lb, 30 F-1 C, 650 Down, 62", 16" x 7.5", Regular: Fits up to 6'
Marmot Never Winter (Long), $219.00, 1191 gm 42.0 oz 2.63 lb, 30 F-1 C, 650 Down, 64", 16" x 7.5", Long: Fits up to 6'6"
Marmot Cloudbreak 20 (Regular), $199.00, 1304 gm 46.0 oz 2.87 lb, 20 F-7 C, Synth, 60", 18" x 8.5", Regular: Fits up to 6'
Marmot Cloudbreak 20 (Long), $209.00, 1531 gm 54.0 oz 3.38 lb, 20 F-7 C, Synth, 62", 18" x 8.5", Long: Fits up to 6'6"
