Marmot Athena 48 (MD.) (2014), , $179.00, 1735 gm 61.2 oz 3.83 lb, 2990 cu. in.49 liters, ~1-1 lbs, Internal Frame
Mountain Hardwear Lani 50 (SM.), , $255.00, 1616 gm 57.0 oz 3.56 lb, 2865 cu. in.47 liters, ~1-1 lbs, Internal Frame
Mountain Hardwear Lani 50 (MD.), , $255.00, 1673 gm 59.0 oz 3.69 lb, 3050 cu. in.50 liters, ~1-1 lbs, Internal Frame
Mountain Hardwear Lani 60 (SM.), , $295.00, 1871 gm 66.0 oz 4.13 lb, 3475 cu. in.57 liters, ~1-1 lbs, Internal Frame
Mountain Hardwear Lani 60 (MD.), , $295.00, 1928 gm 68.0 oz 4.25 lb, 3660 cu. in.60 liters, ~1-1 lbs, Internal Frame
Mountainsmith Juniper 55, , $189.95, 2126 gm 75.0 oz 4.69 lb, 3539 cu. in.58 liters, ~1-65 lbs, Internal Frame
Norrøna trollveggen 40, , $199.00, 1170 gm 41.3 oz 2.58 lb, 2441 cu. in.40 liters, ~1-1 lbs, Internal Frame
REI Crestrail 65 (XS.), , $239.00, 1956 gm 69.0 oz 4.31 lb, 3356 cu. in.55 liters, ~1-1 lbs, Internal Frame
REI Crestrail 65 (SM.), , $239.00, 2070 gm 73.0 oz 4.56 lb, 3661 cu. in.60 liters, ~1-1 lbs, Internal Frame
REI Crestrail 65 (MD.), , $239.00, 2183 gm 77.0 oz 4.81 lb, 3966 cu. in.65 liters, ~1-1 lbs, Internal Frame
REI Lookout 40 Pack - Women's, , $99.50, 1219 gm 43.0 oz 2.69 lb, 2440 cu. in.40 liters, ~1-1 lbs, Internal Frame
REI Flash 45 (MD.), , $129.00, 964 gm 34.0 oz 2.13 lb, 2746 cu. in.45 liters, ~1-1 lbs, Internal Frame
REI Flash 45 (LG.), , $129.00, 992 gm 35.0 oz 2.19 lb, 3051 cu. in.50 liters, ~1-1 lbs, Internal Frame
REI Crestrail 48 Pack - Women's (SM.), , $169.00, 1701 gm 60.0 oz 3.75 lb, 2746 cu. in.45 liters, ~1-1 lbs, Internal Frame
REI Crestrail 48 Pack - Women's (MD.), , $169.00, 1701 gm 60.0 oz 3.75 lb, 2929 cu. in.48 liters, ~1-1 lbs, Internal Frame
The North Face Women's Terra 55 (XS/S) (2014), , $169.00, 1975 gm 69.7 oz 4.35 lb, 3356 cu. in.55 liters, ~1-1 lbs, Internal Frame
The North Face Women's Terra 55 (M/L) (2014), , $169.00, 2020 gm 71.3 oz 4.45 lb, 3417 cu. in.56 liters, ~1-1 lbs, Internal Frame
The North Face Women's Terra 40 (XS/S) (2014), , $149.00, 1580 gm 55.7 oz 3.48 lb, 2441 cu. in.40 liters, ~1-1 lbs, Internal Frame
The North Face Women's Terra 40 (M/L) (2014), , $149.00, 1650 gm 58.2 oz 3.64 lb, 2563 cu. in.42 liters, ~1-1 lbs, Internal Frame
