Gregory Z 35 (LG.) (2014), , $159.00, 1332 gm 47.0 oz 2.94 lb, 2258 cu. in.37 liters, ~1-35 lbs
Gregory Z 30 (MD.) (2014), , $139.00, 1077 gm 38.0 oz 2.38 lb, 1831 cu. in.30 liters, ~1-35 lbs
Gregory Z 30 (LG.) (2014), , $139.00, 1162 gm 41.0 oz 2.56 lb, 1953 cu. in.32 liters, ~1-35 lbs
Gregory Z 25 (2014), , $99.00, 850 gm 30.0 oz 1.88 lb, 1526 cu. in.25 liters, ~1-35 lbs
Gregory Miwok 34 (MD.) (2014), , $149.00, 1106 gm 39.0 oz 2.44 lb, 2075 cu. in.34 liters, ~1-25 lbs
Gregory Miwok 34 (LG.) (2014), , $149.00, 1191 gm 42.0 oz 2.63 lb, 2197 cu. in.36 liters, ~1-25 lbs
Gregory Miwok 24 (2014), , $119.00, 709 gm 25.0 oz 1.56 lb, 1465 cu. in.24 liters, ~1-25 lbs
Gregory Miwok 18 (2014), , $99.00, 624 gm 22.0 oz 1.38 lb, 1098 cu. in.18 liters, ~1-20 lbs
Gregory Miwok 12 (2014), , $85.00, 539 gm 19.0 oz 1.19 lb, 732 cu. in.12 liters, ~1-20 lbs
Gregory Miwok 6 (2014), , $69.00, 397 gm 14.0 oz 0.88 lb, 366 cu. in.6 liters, ~1-20 lbs
Jansport Equinox 22, , $90.00, 879 gm 31.0 oz 1.94 lb, 1340 cu. in.22 liters, ~1-1 lbs
Kelty Redwing 32, , $99.95, 1134 gm 40.0 oz 2.50 lb, 1900 cu. in.32 liters, ~1-1 lbs
Kelty Marmalard, , $74.95, 850 gm 30.0 oz 1.88 lb, 1710 cu. in.28 liters, ~1-1 lbs
Kelty Dobler, , $49.95, 539 gm 19.0 oz 1.19 lb, 1617 cu. in.27 liters, ~1-1 lbs
Kelty Tannen, , $79.95, 907 gm 32.0 oz 2.00 lb, 1854 cu. in.30 liters, ~1-1 lbs
Kelty Bueller, , $44.95, 454 gm 16.0 oz 1.00 lb, 1672 cu. in.28 liters, ~1-1 lbs
Kelty Bender, , $64.95, 765 gm 27.0 oz 1.69 lb, 1763 cu. in.29 liters, ~1-1 lbs
Kelty Kite 25, , $54.95, 510 gm 18.0 oz 1.13 lb, 1500 cu. in.25 liters, ~1-1 lbs
Kelty Redstart 28, , $69.95, 680 gm 24.0 oz 1.50 lb, 1700 cu. in.28 liters, ~1-1 lbs
Kelty Redtail 27, , $79.95, 709 gm 25.0 oz 1.56 lb, 1650 cu. in.27 liters, ~1-1 lbs
